f,i,l,e,_,n,a,m,e
m,i,n
m,a,x
m,e,a,n
NG_2019-11-15_15-03-41-1230.bmp,19,108,45.41684056938294
NG_2019-11-14_15-40-39-5350.bmp,19,99,45.00955192480616
NG_2019-11-15_10-29-07-8580.bmp,18,130,42.807587248265214
NG_2019-11-14_10-05-28-8270.bmp,20,154,53.80604333146706
NG_2019-11-15_09-45-49-2800.bmp,12,53,23.280551738178858
NG_2019-11-15_10-53-01-6700.bmp,20,255,45.33745610016796
NG_2019-11-14_15-40-34-8600.bmp,19,102,46.448702940228365
NG_2019-11-14_15-41-03-5310.bmp,17,98,43.082811625184505
NG_2019-11-14_10-21-46-6460.bmp,23,140,48.29894301080742
NG_2019-11-15_10-40-28-5860.bmp,14,114,38.42181164215062
NG_2019-11-15_15-21-21-1590.bmp,15,104,29.093958365144807
NG_2019-11-15_10-47-18-7330.bmp,14,247,30.72085644967001
NG_2019-11-15_14-57-58-7460.bmp,15,115,30.191598378039057
NG_2019-11-14_10-37-09-6710.bmp,16,131,30.759861556471726
NG_2019-11-15_09-52-26-0250.bmp,13,101,27.693507066388424
NG_2019-11-14_10-37-28-5360.bmp,16,97,30.162111263806178
NG_2019-11-14_10-05-45-2720.bmp,19,123,47.82964320252456
NG_2019-11-14_10-34-27-0910.bmp,22,255,49.18655944079673
NG_2019-11-15_10-53-08-7750.bmp,19,98,45.293174530462665
NG_2019-11-14_10-21-39-5550.bmp,26,97,52.38438438438438
NG_2019-11-14_15-40-42-2650.bmp,19,151,45.79722094976332
NG_2019-11-15_15-04-16-4750.bmp,20,152,51.31378836463582
NG_2019-11-15_14-50-36-5090.bmp,17,194,42.6540269082642
NG_2019-11-15_15-19-05-3870.bmp,16,115,40.300724453266824
NG_2019-11-14_10-25-12-2680.bmp,27,169,58.975331263466856
NG_2019-11-14_15-43-02-3550.bmp,13,99,29.11109414499245
NG_2019-11-14_15-41-01-2090.bmp,18,84,44.288424017237574
NG_2019-11-14_15-38-29-7130.bmp,16,80,31.55022819429599
NG_2019-11-14_10-34-15-2980.bmp,22,79,45.66853293971938
NG_2019-11-14_10-05-40-5970.bmp,18,229,50.887226209260106
NG_2019-11-15_15-18-53-8050.bmp,18,127,42.945369097911474
NG_2019-11-14_10-34-48-8440.bmp,19,151,42.108888549566515
NG_2019-11-14_15-51-01-6690.bmp,23,94,51.906380957228414
NG_2019-11-14_15-51-04-0570.bmp,22,224,48.724877419792676
NG_2019-11-14_15-38-15-5760.bmp,14,59,31.403199809979473
NG_2019-11-14_10-05-33-5350.bmp,21,211,53.158870735141925
NG_2019-11-14_15-51-24-8970.bmp,19,98,44.86525508559407
NG_2019-11-14_15-42-43-6760.bmp,14,62,29.11078875485655
NG_2019-11-15_15-04-09-3650.bmp,20,192,55.4812100235829
NG_2019-11-15_10-53-40-0240.bmp,18,216,47.65390814543357
NG_2019-11-15_15-26-32-5240.bmp,11,165,23.20691878318997
NG_2019-11-15_14-57-48-5870.bmp,19,86,37.523947676490046
NG_2019-11-15_15-04-07-0350.bmp,20,213,56.47778286761338
NG_2019-11-15_10-53-04-0820.bmp,20,104,47.62079028180723
NG_2019-11-14_10-22-14-8520.bmp,21,105,45.76339050915322
NG_2019-11-15_10-32-19-3230.bmp,20,138,54.1971971971972
NG_2019-11-15_15-26-25-5980.bmp,11,146,25.874823976518893
NG_2019-11-15_10-38-06-9340.bmp,13,98,32.624353166726046
NG_2019-11-14_15-38-32-0660.bmp,17,82,31.32849798951494
NG_2019-11-15_10-53-30-6170.bmp,21,124,56.10245839059398
NG_2019-11-15_10-29-03-1240.bmp,19,89,48.034559983712526
NG_2019-11-15_10-05-57-9860.bmp,15,255,42.06297823246976
NG_2019-11-15_09-46-06-2690.bmp,10,255,23.163655180604334
NG_2019-11-15_10-39-53-2590.bmp,17,177,44.54009942145535
NG_2019-11-14_15-38-53-2240.bmp,14,94,28.46519400756689
NG_2019-11-15_10-40-12-1480.bmp,16,189,41.17363125837702
NG_2019-11-15_09-52-18-9640.bmp,14,73,28.103306696527035
NG_2019-11-15_10-37-59-8890.bmp,13,64,32.08116591167439
NG_2019-11-15_09-52-57-0140.bmp,11,93,24.95025534008585
NG_2019-11-15_10-17-18-8180.bmp,15,166,38.3055258648479
NG_2019-11-15_10-29-26-7660.bmp,14,172,41.391611950933985
NG_2019-11-14_10-34-22-3860.bmp,22,111,46.38385843470589
NG_2019-11-15_10-20-16-7220.bmp,12,135,27.715189766037224
NG_2019-11-14_10-24-50-4130.bmp,25,194,51.15859927724335
NG_2019-11-15_14-57-46-2270.bmp,22,255,51.52491474525373
NG_2019-11-15_14-50-41-1960.bmp,17,128,41.009450128094194
NG_2019-11-15_10-37-50-5000.bmp,15,159,35.377699733631935
NG_2019-11-15_09-46-18-0260.bmp,9,109,19.85475305814289
